Disease,Fever,Cough,Fatigue,Difficulty Breathing
Hypertension,1,0,1,0
Hypertension,0,0,0,0
Kidney Cancer,1,1,1,0
Kidney Disease,1,1,1,1
Osteoporosis,1,0,1,0
Pancreatitis,1,1,1,0
Parkinson's Disease,1,1,0,0
Parkinson's Disease,1,1,0,0
Prader-Willi Syndrome,0,0,1,0
Rheumatoid Arthritis,0,0,1,0
Thyroid Cancer,0,0,1,0
Tuberculosis,1,1,1,0
Bladder Cancer,0,0,1,0
Diabetes,0,0,1,0
Otitis Media (Ear Infection),1,1,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
Tourette Syndrome,0,0,1,0
Urinary Tract Infection (UTI),1,0,1,0
Alzheimer's Disease,0,1,0,0
Alzheimer's Disease,0,1,0,0
Alzheimer's Disease,0,0,1,0
Bronchitis,1,0,1,1
Chronic Obstructive Pulmonary Disease (COPD),1,0,1,1
Chronic Obstructive Pulmonary Disease (COPD),1,0,1,1
Dementia,0,0,1,0
Diabetes,1,1,1,0
Diverticulitis,0,0,1,0
Liver Cancer,1,1,1,0
Lung Cancer,1,1,1,0
Lung Cancer,1,0,1,0
Mumps,0,0,1,0
Mumps,0,0,1,0
Osteoporosis,0,1,1,0
Stroke,1,1,1,0
Alzheimer's Disease,1,0,1,0
Alzheimer's Disease,1,0,1,0
Cholecystitis,0,0,1,0
Chronic Obstructive Pulmonary Disease (COPD),0,1,1,1
Chronic Obstructive Pulmonary Disease (COPD),0,1,1,1
Osteoporosis,1,0,0,0
Parkinson's Disease,0,0,1,0
Prostate Cancer,1,1,0,0
Schizophrenia,0,1,1,0
Gout,1,0,1,0
Migraine,0,0,1,0
Stroke,0,1,0,0
Stroke,0,1,0,0
Testicular Cancer,0,0,1,0
Tonsillitis,1,1,1,0
Williams Syndrome,0,0,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
Stroke,1,0,1,0
